market,symbol,name,price,pct,sector,level1_score,trend_evidence,stage_status
KR,000150,두산,1512000,2.65,Technology,0.847970,ANCHOR_RETURNS r1m=39.3548 r3m=-2.1359 r6m=31.3640,LEVEL2_PASS
KR,456010,아이씨티케이,22600,1.57,Technology,0.841863,ANCHOR_RETURNS r1m=39.3342 r3m=16.4948 r6m=63.0592,LEVEL2_PASS
KR,028050,삼성E&A,49350,-3.61,Other,0.834550,ANCHOR_RETURNS r1m=10.1563 r3m=12.2867 r6m=46.0059,LEVEL2_PASS
KR,017900,광전자,9880,-3.14,Technology,0.834541,ANCHOR_RETURNS r1m=31.0345 r3m=33.1536 r6m=277.8203,LEVEL2_PASS
KR,024840,KBI메탈,6350,-1.24,Materials,0.833950,ANCHOR_RETURNS r1m=22.1154 r3m=56.7901 r6m=203.8278,LEVEL2_PASS
KR,059090,미코,22550,-0.22,Technology,0.832650,ANCHOR_RETURNS r1m=30.3468 r3m=22.6210 r6m=59.1390,LEVEL2_PASS
KR,062040,산일전기,205500,0.24,Utilities,0.830113,ANCHOR_RETURNS r1m=24.4700 r3m=-7.8475 r6m=34.4895,LEVEL2_PASS
KR,105560,KB금융,173200,-1.42,Financials,0.828738,ANCHOR_RETURNS r1m=6.1925 r3m=14.0975 r6m=17.9033,LEVEL2_PASS
KR,077360,덕산하이메탈,13140,1.62,Technology,0.827513,ANCHOR_RETURNS r1m=39.0476 r3m=13.2759 r6m=17.5313,LEVEL2_PASS
KR,055550,신한지주,109300,-3.45,Financials,0.826925,ANCHOR_RETURNS r1m=5.8083 r3m=14.2111 r6m=21.4444,LEVEL2_PASS
KR,108490,로보티즈,301000,0.33,Industrials,0.825346,ANCHOR_RETURNS r1m=21.6162 r3m=17.8082 r6m=16.2162,LEVEL2_PASS
KR,252990,샘씨엔에스,17930,3.22,Technology,0.824140,ANCHOR_RETURNS r1m=34.5086 r3m=45.5357 r6m=78.2306,LEVEL2_PASS
KR,039030,이오테크닉스,481500,1.69,Industrials,0.823766,ANCHOR_RETURNS r1m=24.0979 r3m=-1.0277 r6m=13.6954,LEVEL2_PASS
KR,031980,피에스케이홀딩스,163200,3.16,Industrials,0.822790,ANCHOR_RETURNS r1m=48.0944 r3m=32.7909 r6m=60.7882,LEVEL2_PASS
KR,034730,SK,611000,3.91,Financials,0.821714,ANCHOR_RETURNS r1m=11.2933 r3m=-14.1854 r6m=77.8748,LEVEL2_PASS
KR,000880,한화,130000,-1.74,Materials,0.820809,ANCHOR_RETURNS r1m=55.1313 r3m=25.2408 r6m=13.4380,LEVEL2_PASS
KR,443060,HD현대마린솔루션,239000,-1.65,Other,0.818936,ANCHOR_RETURNS r1m=15.7385 r3m=9.1324 r6m=32.9255,LEVEL2_PASS
KR,138040,메리츠금융지주,125600,-2.56,Financials,0.818838,ANCHOR_RETURNS r1m=8.8388 r3m=21.3527 r6m=18.3789,LEVEL2_PASS
KR,180640,한진칼,140100,-2.37,Financials,0.816164,ANCHOR_RETURNS r1m=15.3086 r3m=22.8947 r6m=15.4988,LEVEL2_PASS
KR,403870,HPSP,55500,2.21,Industrials,0.814013,ANCHOR_RETURNS r1m=26.2799 r3m=9.6838 r6m=13.8462,LEVEL2_PASS
KR,006260,LS,321500,-1.53,Financials,0.813301,ANCHOR_RETURNS r1m=11.4385 r3m=-9.0523 r6m=16.2749,LEVEL2_PASS
KR,033640,네패스,27600,0.36,Technology,0.808682,ANCHOR_RETURNS r1m=43.9750 r3m=-2.1277 r6m=49.6746,LEVEL2_PASS
KR,046970,우리로,7910,3.94,Other,0.805107,ANCHOR_RETURNS r1m=84.8131 r3m=30.7438 r6m=72.8962,LEVEL2_PASS
KR,096530,씨젠,34000,-0.58,Healthcare,0.794625,ANCHOR_RETURNS r1m=5.7543 r3m=26.1596 r6m=52.8090,LEVEL2_PASS
KR,069540,빛과전자,4020,2.29,Technology,0.792944,ANCHOR_RETURNS r1m=43.3155 r3m=56.7251 r6m=53.4351,LEVEL2_PASS
US,META,Meta Platforms Inc. Class A Common Stock,777.59,4.501,Technology,0.971871,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,INTC,Intel Corporation Common Stock,127.39,3.907,Technology,0.970082,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,AMD,Advanced Micro Devices Inc. Common Stock,629.26,2.384,Technology,0.965786,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,LLY,Eli Lilly and Company Common Stock,1181.89,2.685,Health Care,0.965746,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,MRNA,Moderna Inc. Common Stock,194.82,6.979,Health Care,0.960440,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,V,Visa Inc.,367.98,1.787,Consumer Discretionary,0.959686,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,GOOGL,Alphabet Inc. Class A Common Stock,342.36,1.341,Technology,0.959169,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank; class-C history used only as structural cross-check,LEVEL2_PROVISIONAL
US,TMO,Thermo Fisher Scientific Inc Common Stock,678.39,1.968,Industrials,0.957804,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,GOOG,Alphabet Inc. Class C Capital Stock,339.01,1.203,Technology,0.956994,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank; Pubmarks 6M history available,LEVEL2_MIXED
US,CDNS,Cadence Design Systems Inc. Common Stock,322,4.177,Technology,0.953921,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PASS_OR_STRONG_VERIFIED
US,DIS,Walt Disney Company (The) Common Stock,105.56,2.03,Consumer Discretionary,0.952971,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,VZ,Verizon Communications Inc. Common Stock,47.32,1.72,Telecommunications,0.952879,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,VLO,Valero Energy Corporation Common Stock,382.86,1.868,Energy,0.952822,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,RCL,Royal Caribbean Cruises Ltd. Common Stock,238.98,3.769,Consumer Discretionary,0.952259,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,MU,Micron Technology Inc. Common Stock,1080.53,0.807,Technology,0.951477,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,MA,Mastercard Incorporated Common Stock,566.08,1.1,Consumer Discretionary,0.950855,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,P,Everpure Inc. Class A common stock,121.88,11.154,Technology,0.949913,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,UNH,UnitedHealth Group Incorporated Common Stock (DE),375.01,1.002,Health Care,0.949855,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,HPE,Hewlett Packard Enterprise Company Common Stock,63.52,1.909,Technology,0.949677,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,DDOG,Datadog Inc. Class A Common Stock,256.92,2.159,Technology,0.949603,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,AXP,American Express Company Common Stock,305.66,1.225,Finance,0.949299,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,SNPS,Synopsys Inc. Common Stock,424.91,2.869,Technology,0.948945,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,CTAS,Cintas Corporation Common Stock,197.68,2.974,Industrials,0.948177,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,WELL,Welltower Inc. Common Stock,233.61,1.627,Real Estate,0.947655,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,ILMN,Illumina Inc. Common Stock,273.9,7.252,Health Care,0.946761,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,APH,Amphenol Corporation Common Stock,83.08,1.083,Technology,0.946004,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,DHR,Danaher Corporation Common Stock,223.77,0.997,Industrials,0.945337,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,ANET,Arista Networks Inc. Common Stock,205.7,1.096,Telecommunications,0.945106,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,XOM,ExxonMobil Holdings Corporation Common Stock,162.14,0.564,Energy,0.944841,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,CSCO,Cisco Systems Inc. Common Stock (DE),106.97,0.507,Telecommunications,0.944208,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,JNJ,Johnson & Johnson Common Stock,270.68,0.561,Health Care,0.943890,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,BKNG,Booking Holdings Inc. Common Stock,157.41,0.969,Consumer Discretionary,0.943805,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,ABNB,Airbnb Inc. Class A Common Stock,151.39,1.21,Consumer Discretionary,0.943743,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,PLTR,Palantir Technologies Inc. Class A Common Stock,192.59,0.417,Technology,0.942632,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,A,Agilent Technologies Inc. Common Stock,172.84,4.549,Industrials,0.942193,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,NFLX,Netflix Inc. Common Stock,71.72,0.504,Consumer Discretionary,0.942043,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,BLK,BlackRock Inc. Common Stock,1073.45,1.184,Finance,0.941093,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,PFE,Pfizer Inc. Common Stock,28.41,0.816,Health Care,0.940458,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,PWR,Quanta Services Inc. Common Stock,643.5,1.355,Industrials,0.940386,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
US,COP,ConocoPhillips Common Stock,129.34,0.976,Energy,0.939797,BULK_2026-09-25_FETCH; PRICE_BAR=2026-09-24; liquidity+market-leadership rank,LEVEL2_PROVISIONAL
